problemName,vehicleFileID,numUAVs,UAVSpeedType,numTrucks,numCustomers,timestamp,ofv,totalTime,numUAVcust,numTruckCust,waitingTruck,waitingUAV
20191230T145706863992,104,3,maximum,-1,10, 2019-12-30 17:36:26,5887.728964,0.065468,0,10,0,0
20191230T145706863992,104,4,maximum,-1,10, 2019-12-30 17:36:27,5887.728964,0.078461,0,10,0,0
20191230T145728368390,101,1,maximum,-1,10, 2019-12-30 17:36:27,6621.157186,0.254589,1,9,60,260.220274
20191230T145728368390,101,2,maximum,-1,10, 2019-12-30 17:36:28,6621.157186,0.369954,1,9,60,260.220274
20191230T145728368390,101,3,maximum,-1,10, 2019-12-30 17:36:28,6278.444267,0.396378,6,4,1035.791969,869.827475
20191230T145728368390,101,4,maximum,-1,10, 2019-12-30 17:36:30,6278.444267,0.429648,6,4,1035.791969,869.827475
20191230T145728368390,102,1,maximum,-1,10, 2019-12-30 17:36:30,6125.979841,0.170487,3,7,240,744.426003
20191230T145728368390,102,2,maximum,-1,10, 2019-12-30 17:36:31,4723.450511,0.203756,6,4,834.243588,1576.708684
20191230T145728368390,102,3,maximum,-1,10, 2019-12-30 17:36:32,4633.450511,0.244889,6,4,744.243588,1173.322719
20191230T145728368390,102,4,maximum,-1,10, 2019-12-30 17:36:32,4633.450511,0.265715,6,4,744.243588,1173.322719
20191230T145728368390,103,1,maximum,-1,10, 2019-12-30 17:36:33,6522.20059,0.060345,2,8,180,329.05668
20191230T145728368390,103,2,maximum,-1,10, 2019-12-30 17:36:33,6522.20059,0.085744,2,8,180,329.05668
20191230T145728368390,103,3,maximum,-1,10, 2019-12-30 17:36:34,6522.20059,0.111876,2,8,180,329.05668
20191230T145728368390,103,4,maximum,-1,10, 2019-12-30 17:36:34,6522.20059,0.122127,2,8,180,329.05668
20191230T145728368390,104,1,maximum,-1,10, 2019-12-30 17:36:35,7212.687795,0.032,0,10,0,0
20191230T145728368390,104,2,maximum,-1,10, 2019-12-30 17:36:35,7212.687795,0.047532,0,10,0,0
20191230T145728368390,104,3,maximum,-1,10, 2019-12-30 17:36:36,7212.687795,0.069365,0,10,0,0
20191230T145728368390,104,4,maximum,-1,10, 2019-12-30 17:36:36,7212.687795,0.084568,0,10,0,0
20191230T145749863540,101,1,maximum,-1,10, 2019-12-30 17:36:36,6001.438418,0.649978,2,8,150,1215.57354
20191230T145749863540,101,2,maximum,-1,10, 2019-12-30 17:36:37,6001.438418,0.360793,2,8,180,205.050252
20191230T145749863540,101,3,maximum,-1,10, 2019-12-30 17:36:38,6001.438418,0.547913,2,8,180,205.050252
